iter	SMAPE	RMSE
0	22.41469727	161.6335672
1	22.03358506	159.2172669
2	21.81343944	157.3243801
3	21.42129133	154.8568862
4	21.16176596	152.9211751
5	20.87258426	150.8113606
6	20.58094614	148.6432084
7	20.3096868	146.254129
8	20.18130653	145.2122444
9	19.98166451	143.496556
10	19.77510426	141.6389184
11	19.52850644	139.7981026
12	19.2133975	137.7021212
13	18.98049423	135.9808447
14	18.75041524	134.2810841
15	18.47784436	132.3390825
16	18.18495896	130.2660858
17	17.96448477	128.6377598
18	17.69277328	126.5946121
19	17.45303236	124.9900995
20	17.23404456	123.4191453
21	17.02522785	121.876406
22	16.76134496	119.9376581
23	16.50926193	118.0435455
24	16.30943815	116.5680012
25	16.08939274	115.0934077
26	15.89462086	113.6547401
27	15.7157122	112.6347769
28	15.5253514	111.2268422
29	15.3372718	109.8365066
30	15.13127024	108.4502562
31	14.9420498	107.0885124
32	14.71895072	105.4952151
33	14.53108894	103.9128908
34	14.31364906	102.2804013
35	14.14020786	101.0018963
36	13.92907477	99.42018643
37	13.72113945	97.94875055
38	13.55479204	96.72439115
39	13.39043119	95.51533624
40	13.2603198	94.40215809
41	13.09947254	93.2221311
42	12.94054596	92.05685444
43	12.78351717	90.90614375
44	12.62836353	89.76981693
45	12.42246206	88.43068776
46	12.25578743	87.31362089
47	12.10690332	86.22220062
48	11.95459397	84.94177793
49	11.74183555	83.41277646
50	11.53607542	81.94554522
51	11.39119647	80.91603714
52	11.28068118	79.97647131
53	11.14353593	78.9767654
54	10.94836783	77.59152584
55	10.70787725	75.95616182
56	10.57753857	75.00670979
57	10.45598933	74.04089013
58	10.28464122	72.93123413
59	10.10201925	71.64072629
60	9.966998622	70.73725525
61	9.845487253	69.85303955
62	9.725432271	68.97987654
63	9.581160985	67.916215
64	9.46431628	67.0672623
65	9.34887202	66.22892151
66	9.230945078	65.39677834
67	9.118301678	64.5793186
68	9.0070093	63.7720771
69	8.897052076	62.97492613
70	8.738873712	61.86646927
71	8.632140041	61.09313839
72	8.526687866	60.32947415
73	8.422502135	59.57535571
74	8.296340188	58.7116869
75	8.185473656	57.97218308
76	8.085373161	57.24753078
